Time,Angle
0.0,-68.6
0.02,-67.8
0.04,-66.5
0.06,-64.8
0.08,-62.6
0.1,-60.0
0.12,-57.0
0.14,-53.6
0.16,-49.8
0.18,-45.6
0.2,-41.0
0.22,-36.3
0.24,-31.1
0.26,-25.7
0.28,-20.2
0.3,-14.5
0.32,-8.6
0.34,-2.7
0.36,3.2
0.38,9.1
0.4,14.9
0.42,20.5
0.44,26.0
0.46,31.3
0.48,36.3
0.5,41.0
0.52,45.4
0.54,49.3
0.56,53.0
0.58,56.3
0.6,59.0
0.62,61.4
0.64,63.5
0.66,64.9
0.68,66.0
0.7,66.6
0.72,66.8
0.74,66.5
0.76,65.8
0.78,64.6
0.8,63.0
0.82,60.9
0.84,58.4
0.86,55.5
0.88,52.3
0.9,48.6
0.92,44.6
0.94,40.1
0.96,35.5
0.98,30.5
1.0,25.3
1.02,19.9
1.04,14.3
1.06,8.6
1.08,2.9
1.1,-2.9
1.12,-8.6
1.14,-14.2
1.16,-19.8
1.18,-25.1
1.2,-30.2
1.22,-35.1
1.24,-39.7
1.26,-43.9
1.28,-47.9
1.3,-51.4
1.32,-54.5
1.34,-57.3
1.36,-59.7
1.38,-61.6
1.4,-63.1
1.42,-64.1
1.44,-64.7
1.46,-64.9
1.48,-64.6
1.5,-63.9
1.52,-62.7
1.54,-61.1
1.56,-59.0
1.58,-56.6
1.6,-53.7
1.62,-50.5
1.64,-46.9
1.66,-42.9
1.68,-38.6
1.7,-34.0
1.72,-29.2
1.74,-24.0
1.76,-18.7
1.78,-13.3
1.8,-7.7
1.82,-2.2
1.84,3.4
1.86,9.0
1.88,14.5
1.9,19.9
1.92,25.0
1.94,30.0
1.96,34.7
1.98,39.2
2.0,43.3
2.02,47.0
2.04,50.4
2.06,53.5
2.08,56.1
2.1,58.2
2.12,60.0
2.14,61.4
2.16,62.4
2.18,62.8
2.2,62.9
2.22,62.5
2.24,61.7
2.26,60.5
2.28,58.8
2.3,56.7
2.32,54.2
2.34,51.3
2.36,48.0
2.38,44.4
2.4,40.4
2.42,36.1
2.44,31.5
2.46,26.7
2.48,21.7
2.5,16.5
2.52,11.2
2.54,5.8
2.56,0.3
2.58,-5.1
2.6,-10.6
2.62,-15.8
2.64,-21.1
2.66,-26.0
2.68,-30.8
2.7,-35.3
2.72,-39.5
2.74,-43.4
2.76,-47.0
2.78,-50.1
2.8,-52.9
2.82,-55.4
2.84,-57.3
2.86,-59.0
2.88,-60.1
2.9,-60.8
2.92,-61.2
2.94,-61.1
2.96,-60.6
2.98,-59.6
3.0,-58.2
3.02,-56.3
3.04,-54.2
3.06,-51.6
3.08,-48.6
3.1,-45.2
3.12,-41.5
3.14,-37.5
3.16,-33.2
3.18,-28.6
3.2,-23.8
3.22,-18.8
3.24,-13.7
3.26,-8.5
3.28,-3.2
3.3,2.2
3.32,7.5
3.34,12.7
3.36,17.8
3.38,22.8
3.4,27.5
3.42,32.0
3.44,36.4
3.46,40.3
3.48,43.9
3.5,47.2
3.52,50.1
3.54,52.7
3.56,54.8
3.58,56.6
3.6,57.9
3.62,58.8
3.64,59.3
3.66,59.4
3.68,59.0
3.7,58.2
3.72,57.1
3.74,55.4
3.76,53.5
3.78,51.1
3.8,48.3
3.82,45.2
3.84,41.7
3.86,37.9
3.88,33.8
3.9,29.4
3.92,24.8
3.94,20.1
3.96,15.1
3.98,10.0
4.0,4.9
4.02,-0.4
4.04,-5.5
4.06,-10.6
4.08,-15.7
4.1,-20.5
4.12,-25.3
4.14,-29.8
4.16,-34.0
4.18,-38.0
4.2,-41.6
4.22,-44.9
4.24,-47.9
4.26,-50.5
4.28,-52.7
4.3,-54.6
4.32,-56.0
4.34,-57.1
4.36,-57.6
4.38,-57.9
4.4,-57.6
4.42,-57.0
4.44,-56.0
4.46,-54.5
4.48,-52.7
4.5,-50.4
4.52,-47.8
4.54,-44.9
4.56,-41.6
4.58,-37.9
4.6,-34.0
4.62,-29.8
4.64,-25.4
4.66,-20.7
4.68,-15.9
4.7,-11.0
4.72,-6.0
4.74,-0.9
4.76,4.1
4.78,9.2
4.8,14.1
4.82,18.9
4.84,23.5
4.86,28.0
4.88,32.1
4.9,36.1
4.92,39.7
4.94,43.0
4.96,46.0
4.98,48.7
5.0,50.9
5.02,52.7
5.04,54.2
5.06,55.3
5.08,55.9
5.1,56.2
5.12,56.1
5.14,55.5
5.16,54.5
5.18,53.2
5.2,51.4
5.22,49.2
5.24,46.8
5.26,43.9
5.28,40.7
5.3,37.2
5.32,33.4
5.34,29.3
5.36,25.0
5.38,20.5
5.4,15.8
5.42,11.1
5.44,6.2
5.46,1.3
5.48,-3.7
5.5,-8.6
5.52,-13.4
5.54,-18.1
5.56,-22.6
5.58,-27.0
5.6,-31.1
5.62,-34.9
5.64,-38.5
5.66,-41.8
5.68,-44.6
5.7,-47.2
5.72,-49.5
5.74,-51.3
5.76,-52.7
5.78,-53.8
5.8,-54.5
5.82,-54.7
5.84,-54.6
5.86,-54.1
5.88,-53.2
5.9,-51.8
5.92,-50.1
5.94,-48.1
5.96,-45.6
5.98,-42.8
6.0,-39.7
6.02,-36.3
6.04,-32.6
6.06,-28.6
6.08,-24.4
6.1,-20.0
6.12,-15.4
6.14,-10.7
6.16,-6.0
6.18,-1.2
6.2,3.7
6.22,8.4
6.24,13.1
6.26,17.7
6.28,22.1
6.3,26.4
6.32,30.3
6.34,34.1
6.36,37.5
6.38,40.8
6.4,43.6
6.42,46.1
6.44,48.2
6.46,50.0
6.48,51.4
6.5,52.4
6.52,53.0
6.54,53.3
6.56,53.1
6.58,52.6
6.6,51.6
6.62,50.2
6.64,48.5
6.66,46.4
6.68,44.0
6.7,41.2
6.72,38.2
6.74,34.7
6.76,31.1
6.78,27.2
6.8,23.0
6.82,18.7
6.84,14.3
6.86,9.7
6.88,5.0
6.9,0.4
6.92,-4.3
6.94,-9.0
6.96,-13.6
6.98,-18.0
7.0,-22.2
7.02,-26.4
7.04,-30.2
7.06,-33.8
7.08,-37.2
7.1,-40.2
7.12,-42.9
7.14,-45.4
7.16,-47.3
7.18,-49.1
7.2,-50.3
7.22,-51.2
7.24,-51.8
7.26,-51.9
7.28,-51.8
7.3,-51.0
7.32,-50.0
7.34,-48.7
7.36,-47.0
7.38,-44.8
7.4,-42.4
7.42,-39.6
7.44,-36.5
7.46,-33.2
7.48,-29.5
7.5,-25.7
7.52,-21.6
7.54,-17.4
7.56,-13.0
7.58,-8.5
7.6,-3.9
7.62,0.7
7.64,5.3
7.66,9.8
7.68,14.2
7.7,18.5
7.72,22.7
7.74,26.6
7.76,30.3
7.78,33.8
7.8,37.0
7.82,39.9
7.84,42.5
7.86,44.7
7.88,46.6
7.9,48.2
7.92,49.3
7.94,50.0
7.96,50.5
7.98,50.5
8.0,50.1
8.02,49.4
8.04,48.3
8.06,46.9
8.08,45.0
8.1,42.8
8.12,40.3
8.14,37.5
8.16,34.5
8.18,31.1
8.2,27.5
8.22,23.6
8.24,19.5
8.26,15.3
8.28,11.0
8.3,6.6
8.32,2.2
